SYNC_Column	Sample	int_ID	Year	Block	Pond	Treatment
22	SRR19749275	T01	Initial	0	T01	Initial
21	SRR19749274	T02	Initial	0	T02	Initial
11	SRR19749263	T03	Initial	0	T03	Initial
10	SRR19749262	T04	Initial	0	T04	Initial
9	SRR19749261	T1A	2021	1	1A	Aphid
6	SRR19749258	T1D	2021	1	1D	Aphid
4	SRR19749256	T2B	2021	2	2B	Aphid
20	SRR19749273	T2C	2021	2	2C	Aphid
18	SRR19749271	T3A	2021	3	3A	Aphid
15	SRR19749268	T3D	2021	3	3D	Aphid
14	SRR19749266	T6B	2021	6	6B	Aphid
13	SRR19749265	T6C	2021	6	6C	Aphid
8	SRR19749260	T1B	2021	1	1B	Control
7	SRR19749259	T1C	2021	1	1C	Control
5	SRR19749257	T2A	2021	2	2A	Control
19	SRR19749272	T2D	2021	2	2D	Control
17	SRR19749270	T3B	2021	3	3B	Control
16	SRR19749269	T3C	2021	3	3C	Control
12	SRR19749264	T6D	2021	6	6D	Control
35	SRR25742240	EAWAG_A1	2022	1	1A	Aphid
24	SRR25742226	EAWAG_A3	2022	3	3A	Aphid
27	SRR25742229	EAWAG_B2	2022	2	2B	Aphid
32	SRR25742235	EAWAG_B6	2022	6	6B	Aphid
26	SRR25742228	EAWAG_C2	2022	2	2C	Aphid
31	SRR25742234	EAWAG_C6	2022	6	6C	Aphid
28	SRR25742230	EAWAG_A2	2022	2	2A	Control
34	SRR25742239	EAWAG_B1	2022	1	1B	Control
23	SRR25742225	EAWAG_B3	2022	3	3B	Control
29	SRR25742232	EAWAG_C1	2022	1	1C	Control
33	SRR25742238	EAWAG_C3	2022	3	3C	Control
25	SRR25742227	EAWAG_D2	2022	2	2D	Control
30	SRR25742233	EAWAG_D6	2022	6	6D	Control
